distance_patient_clinic,distance_staff_patient,time_margin,workload,language,preferred_language,fitness_score,language_match
27.793415495878055,25.841392552835128,-12.553969695099454,7,Mandarin,Mandarin,2.6555008647030194,1
34.24122720137758,27.332611789400566,9.671443684461693,7,English,English,2.2353508645206253,1
31.384903929336037,25.707963162596965,-17.77418969632261,7,Malay,English,1.5843081018044114,0
6.4620608224888105,13.295063620846129,-11.829974043917552,8,English,Malay,2.010495508753592,0
25.086421773298646,28.013761891964204,-22.77003150000632,9,Malay,Mandarin,1.3947637046514458,0
3.4369765034504276,3.789417203436299,-12.18344362873555,6,Mandarin,Malay,2.369624584168681,0
30.24502352570615,27.240830162567164,-19.63878499878139,7,Malay,Mandarin,1.5719796592975885,0
13.306870664095529,5.055712346029127,8.985667791082005,7,English,Malay,1.8668757972108834,0
7.747690700036719,2.3588414912107236,-21.504873985093134,8,Malay,Malay,3.0747517648038816,1
32.2137510196533,25.24095969560216,-8.202226826195925,7,English,Malay,1.6105859661198174,0
30.143855267904417,29.977645407615697,-13.252816697457334,7,Malay,English,1.5522672671670514,0
23.145725066620166,26.688427068284856,-4.043832547449007,7,Mandarin,Malay,1.742989302743314,0
24.25364521241108,26.43892397676977,12.221283507061553,9,English,Mandarin,1.0803706676433658,0
10.342050147178327,11.121436769579843,10.51010080724161,6,English,Mandarin,1.900011602578962,0
1.3729786196166214,8.418828543567015,-18.345273363266408,7,Mandarin,Malay,2.2059310171572757,0
14.18199327547493,8.865383494966762,25.596563588235455,6,English,English,2.356146506707342,1
35.452456645585826,29.87894203174813,-14.324959077235164,7,English,Mandarin,1.4676506014284656,0
8.60941552933316,3.1306294472298086,-19.498558821579806,6,Malay,English,2.3001043541624377,0
1.7757631509356455,1.6995885151885468,20.496428154845432,6,Mandarin,Mandarin,2.730371497919168,1
5.639335308480244,11.302456121097258,-23.049865514345143,7,Mandarin,Malay,2.118749200656408,0
2.5455943113119908,12.511989786661369,22.142233767144216,6,Malay,Mandarin,1.556945977170219,0
12.974700246363518,9.077723916451715,-29.847945418504917,7,Malay,Malay,3.0449826069768315,1
14.72089252112992,6.2051274253474284,-4.39875970279202,7,Malay,English,2.1410772681925865,0
11.341174205582824,3.5559986751253687,24.10732753265843,6,Malay,Malay,2.489771807549873,1
8.956305828376216,2.2935232963980847,-21.864030510803715,6,Mandarin,English,2.297121607049578,0
3.6332619781942026,7.381291425816083,26.774938469452483,6,Mandarin,English,1.4352316195290604,0
10.364930596968614,1.0621884393428125,-0.42714213763307285,6,Mandarin,English,2.366805002511442,0
39.4753170095416,25.32285284606908,16.001178917970645,6,English,English,2.081153873450417,1
34.856707143338014,27.078297412206958,-27.53330933480042,7,English,Malay,1.4764555646866326,0
21.975684568211786,29.74138003219297,-15.271080137407774,7,English,Mandarin,1.6762753946467892,0
4.309770125875424,12.472627794231336,-22.60634247762014,7,Mandarin,Mandarin,3.121821545873532,1
23.700487219592993,27.814600611395075,-29.270151178842443,6,Malay,Malay,2.7502536853662667,1
11.506534657402154,7.7960868330575535,-7.56531098655924,7,English,English,3.1467560818068723,1
6.047469905990884,4.970856613096136,-26.86185433299925,7,Mandarin,Mandarin,3.165277220365799,1
23.27890855768389,26.326189399953066,-18.941197773673,6,Malay,Mandarin,1.8143944836356263,0
8.473511533605379,13.426373911982509,24.346448231944326,6,Malay,Mandarin,1.41137545742607,0
